shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
38_2,45.3803515067281,-73.5992394883598,24,5.65
38_2,45.381927080501,-73.5982973237448,25,5.84
210_1,45.3846677297144,-73.548346537786,1,0.0
210_1,45.3845061242018,-73.5474652849788,2,0.07
210_1,45.3853611668785,-73.5470445913202,3,0.17
210_1,45.3839415477796,-73.5414630740451,4,0.64
210_1,45.3817119942399,-73.5351917895143,5,1.19
210_1,45.3770532067528,-73.5258298780423,6,2.08
210_1,45.3758120221721,-73.5228927128865,7,2.35
210_1,45.374553095116,-73.517963933268,8,2.76
210_1,45.3742113106813,-73.5168913578909,9,2.86
210_1,45.3739054131267,-73.5165082449035,10,2.9
210_1,45.373545506182,-73.5162400265469,11,2.95
210_1,45.3730055953184,-73.5161888032411,12,3.01
210_1,45.3726276106127,-73.5164823389311,13,3.05
210_1,45.37235754034,-73.5172355163855,14,3.12
210_1,45.3723934467492,-73.5178100448684,15,3.17
210_1,45.3727622542529,-73.5186655590221,16,3.24
210_1,45.3732570967524,-73.5191636446133,17,3.31
210_1,45.3747238157273,-73.5195088646938,18,3.48
210_1,45.38974307426,-73.5158998484435,19,5.17
210_1,45.3907599696973,-73.5155169978136,20,5.29
210_1,45.3917499097112,-73.5148148408991,21,5.41
210_1,45.394557943032,-73.5106007990516,22,5.86
210_1,45.3963128121392,-73.5089407096555,23,6.1
210_1,45.3987874632937,-73.5084557259242,24,6.38
210_1,45.4048615878053,-73.5073580363418,25,7.06
210_1,45.4113497122872,-73.5045098684094,26,7.81
210_1,45.4137524043482,-73.5019164559387,27,8.15
210_1,45.4149942188141,-73.5009965789297,28,8.3
210_1,45.4201323934272,-73.4984411069655,29,8.91
210_1,45.4236597529885,-73.4955658232092,30,9.36
210_1,45.4291036494337,-73.4915397487001,31,10.04
210_1,45.4301474458031,-73.4910795101922,32,10.16
210_1,45.4322530919599,-73.4909130313773,33,10.4
210_1,45.4374003132478,-73.4916663260604,34,10.97
210_1,45.4415397397716,-73.4932124164926,35,11.45
210_1,45.4526348566649,-73.4923161252586,36,12.68
210_1,45.4629741888425,-73.4931586949356,37,13.83
210_1,45.4695791950063,-73.4954854902157,38,14.59
210_1,45.4733136251649,-73.4974548249881,39,15.03
210_1,45.4756352599809,-73.500217435939,40,15.37
210_1,45.479522449236,-73.5058583827941,41,15.99
210_1,45.4830947011122,-73.508122943603,42,16.42
210_1,45.4875218273835,-73.5096075724334,43,16.93
210_1,45.4970686063455,-73.5149447945085,44,18.07
210_1,45.5025573271321,-73.5172496065509,45,18.7
210_1,45.5067771296515,-73.5200663233604,46,19.22
210_1,45.5186813353223,-73.523705782169,47,20.57
210_1,45.5246920493733,-73.5247324234683,48,21.25
210_1,45.5266267509178,-73.5245156389777,49,21.46
210_1,45.5285705947468,-73.5236075171633,50,21.69
210_1,45.5369493310472,-73.5165430811295,51,22.77
210_1,45.5380563060505,-73.5152885653581,52,22.93
210_1,45.5406482687832,-73.5116270143923,53,23.33
210_1,45.5429430878353,-73.5090279500312,54,23.66
210_1,45.5481534463411,-73.5033937982712,55,24.39
210_1,45.5502951049351,-73.5004354472583,56,24.72
210_1,45.5491342760913,-73.4969135109105,57,25.02
210_1,45.5479914358218,-73.4954536040557,58,25.19
210_1,45.5456607068193,-73.4925339738012,59,25.54
210_1,45.5431410757815,-73.491279353828,60,25.84
210_1,45.5418003248233,-73.4913563931699,61,25.98
210_1,45.5405945926068,-73.4920352466188,62,26.13
210_1,45.5363025781271,-73.4960691426579,63,26.7
210_1,45.5357536976699,-73.4967221834209,64,26.78
210_1,45.5385611865523,-73.503431634995,65,27.39
210_1,45.5395329571379,-73.5049042494159,66,27.55
210_1,45.5408105426837,-73.5081184452971,67,27.84
210_1,45.5381288750295,-73.5100387358942,68,28.17
210_1,45.5377959007566,-73.5104228096791,69,28.22
210_1,45.5364549063178,-73.5127529136282,70,28.45
210_1,45.5338720620642,-73.5152746280131,71,28.8
210_1,45.5312801123087,-73.5181161825995,72,29.16
210_1,45.5302901527308,-73.5189608450534,73,29.29
210_1,45.5287243514548,-73.5194468092554,74,29.47
210_1,45.5253589638123,-73.5193816416032,75,29.84
210_1,45.5252505126001,-73.5219803267447,76,30.05
210_1,45.5253589638123,-73.5193816416032,77,30.25
210_1,45.525323108385,-73.5185495249942,78,30.32
210_1,45.5267989470471,-73.517909913089,79,30.49
210_1,45.5280497888865,-73.5174878366821,80,30.63
210_1,45.5289493111779,-73.5194468867755,81,30.81
210_1,45.5307305665348,-73.5218032215672,82,31.08
210_1,45.5285705947468,-73.5236075171633,83,31.36
