stop_lat,stop_code,stop_lon,stop_id,stop_name,location_type,zone_id
45.3885274329,76104,-73.5930855515,SCS4B,rue Monette / rue Mongeau,0,5
45.394131765,76402,-73.5539359494,SCA39B,boul. St-Laurent / rue du Chalutier,0,5
45.3736459248,76128,-73.578123348,SCS63D,rue de la Mairie / rue du Bassin,0,5
45.3874481516,76095,-73.5805176612,SCS161C,rue Proulx / rue Lausanne,0,5
45.3736459248,76020,-73.578123348,SCS63B,rue de la Mairie / rue du Bassin,0,5
45.3712765567,76238,-73.5683407125,SCS53A,rue Berger / rue Bellerive,0,5
45.4045911975,76049,-73.5653022612,SCA25D,boul. Marie-Victorin / rue d'Auteuil,0,5
45.3782886499,76009,-73.5646335592,SCS129C,rue St-Pierre / rue St-Jacques,0,5
45.3933873479,76062,-73.5484306026,SCA20C,rue Jogues / boul. St-Laurent,0,5
45.3815776879,76025,-73.5851572893,SCS10A,rue Monchamp / rue Vincent,0,5
45.4570507811,76122,-73.5822277131,MTL87B,rue Jolicoeur / rue Drake (métro),0,1
45.3815776879,76405,-73.5851572893,SCS10C,rue Monchamp / rue Vincent,0,5
45.3815776879,76099,-73.5851572893,SCS10D,rue Vincent / rue Monchamp,0,5
45.3952426874,76064,-73.5634778406,SCA31B,boul. St-Laurent / rue des Éperviers,0,5
45.398124609,76410,-73.5378459562,DEL13C,rue Principale / rue Soucy,0,5
45.3850751269,76027,-73.5891212129,SCS43B,ch. Ste-Catherine / rue Meunier,0,5
45.3721313237,76433,-73.5938374378,SCS212B,montée St-Régis / rue des Grenadiers,0,5
45.3850751269,76120,-73.5891212129,SCS43D,ch. Ste-Catherine / rue Valois,0,5
45.3966487005,76306,-73.5746681407,SCA86D,rue St-Jean / rue de l'École,0,5
45.367455197,76017,-73.5776297198,SCS23B,montée St-Régis / rue Pierre-Dupuis,0,5
45.367455197,76222,-73.5776297198,SCS23C,montée St-Régis / rue Pierre-Dupuis,0,5
45.4351296627,76280,-73.605061431,VER2B,Cégep André-Laurendeau,0,1
45.3951756084,76184,-73.5539241702,SCA49C,rue des Cascades / rue du Chalutier,0,5
45.4351296627,76280,-73.605061431,VER2D,rue Lapierre / face au Cégep André-Laurendeau,0,1
45.3796583707,76002,-73.5410002705,DEL24C,rue Principale / rue Delvista,0,5
45.3966432563,76417,-73.5520352336,SCA6C,rue des Cascades / rue des Bateliers,0,5
45.3846677297,76080,-73.5483465378,DEL9C_merged_102030406,Stationnement Incitatif Georges-Gagné,0,0_merged_102030408
45.3786266656,76006,-73.5549554516,DEL15B,montée des Bouleaux / rue Richer,0,5
45.3891052138,76030,-73.5907622108,SCS100D,rue Monette / rue Maçon,0,5
45.3891052138,76089,-73.5907622108,SCS100C,rue Maçon / rue Monette,0,5
45.3891052138,76249,-73.5907622108,SCS100B,rue Maçon / rue Monette,0,5
45.3751135562,76221,-73.5423886621,DEL67D,1re avenue / rue Ste-Thérèse,0,5
45.4024897889,76057,-73.5573672892,SCA10A,boul. des Écluses / boul. Marie-Victorin,0,5
45.3803515067,76432,-73.5992394884,SCS220C,rue Sainte-Catherine / face à l'aréna,0,5
45.3751135562,76209,-73.5423886621,DEL67B,1re avenue / rue Ste-Thérèse,0,5
45.3808407358,76295,-73.5705868015,SCS105B,ch. Ste-Catherine / rue Cartier,0,5
45.3881029973,76245,-73.5833792038,SCS189B,rue Maçon / rue Métras,0,5
45.3756301987,76131,-73.5843439918,SCS97C,rue Monchamp / rue Tougas,0,5
45.3748350193,76156,-73.5412393694,DEL4C,rue Principale / 1re avenue,0,5
45.3881029973,76414,-73.5833792038,SCS189D,rue Maçon / rue Métras,0,5
45.3832225889,76115,-73.5596846171,SCS56A,rue St-Pierre / rue Beaudry,0,5
45.3967247465,76403,-73.5681797929,SCA57B,boul. St-Laurent / rue Boulet,0,5
45.3947011755,76079,-73.5662870918,SCA108A,rue Brébeuf / rue des Colibris,0,5
45.3801772927,76106,-73.580481803,SCS60D,rue De l'Olivier / rue De l'Oseraie,0,5
45.467586308,76007,-73.4686169501,BRO68C,Terminus Panama,0,3
45.3657269977,76234,-73.5638405537,SCS208A,rue Beauvais / rue Boisjoli,0,5
45.3967247465,76409,-73.5681797929,SCA57D,boul. St-Laurent / rue Boulet,0,5
45.4012267738,76364,-73.5443753111,SCA18B,boul. Marie-Victorin / rue Jogues,0,5
45.3819270805,76083,-73.5982973237,SCS149D,Gare Sainte-Catherine,0,5
45.4012267738,76178,-73.5443753111,SCA18A,rue Jogues / boul. Marie-Victorin,0,5
45.3968473898,76055,-73.5579235724,SCA26A,boul. des Écluses / rue des Marguerites,0,5
45.3633353837,76228,-73.5752880866,SCS28D,rue du Parc/rue Leber,0,5
45.3736789766,76401,-73.5687010917,SCS181C,rue St-Pierre / face à la gare St-Constant,0,5
45.3801675636,76294,-73.5677385199,SCS17B,ch. Ste-Catherine / rue Berri,0,5
45.3872759486,76044,-73.5515030517,SCA21C,rue Jogues / rue Talon,0,5
45.3801675636,76111,-73.5677385199,SCS17D,ch. Ste-Catherine / rue Berri,0,5
45.3920915303,76272,-73.5663734415,SCA116C,rue des Sarcelles / rue des Cormorans,0,5
45.3728653499,76019,-73.5746751391,SCS44A,rue Pierre-Dupuis / rue de la Mairie,0,5
45.3812929434,76150,-73.5490587288,DEL8A,boul. Georges-Gagné / rue Viau,0,5
